id,timestamp,source,rating,feedback_text,sentiment,category,issue_summary,severity,business_impact_score,risk_level,churn_risk_percent,root_cause,language,original_text,priority_score,business_health_score,translated_text,executive_action,forecast_category
1,2026-06-21 09:15:00,survey_comment,2,The delivery was delayed by 3 hours and the food arrived cold.,Negative,Delivery,The delivery was delayed by 3 hours and the food arrived cold,High,80,Critical,65,Route Planning Failure,English,The delivery was delayed by 3 hours and the food arrived cold.,80,38,The delivery was delayed by 3 hours and the food arrived cold.,Recalibrate dispatch buffer limits and update active route mapping API variables.,Delivery
10,2026-06-28 13:00:00,survey_comment,2,"Support team romba careless ah irukanga, problem solve pannala.",Negative,Staff/Support,Support team very careless are problem not solved,High,80,Critical,73,Agent Conduct,Tanglish,"Support team romba careless ah irukanga, problem solve pannala.",83,36,"Support team very careless are, problem not solved.",Deploy customer service quality training curriculum for support representatives.,Staff/Support
11,2026-06-28 13:30:00,survey_comment,1,"Delivery romba worst ah irundhuchu, customer support bhi help nahi kiya.",Negative,Staff/Support,Delivery was very worst customer support did not help,High,90,Critical,88,Agent Conduct,Mixed,"Delivery romba worst ah irundhuchu, customer support bhi help nahi kiya.",92,30,"Delivery was very worst, customer support did not help.",Deploy customer service quality training curriculum for support representatives.,Staff/Support
12,2026-06-29 14:00:00,survey_comment,3,Food super aa irundhuchu but delivery bahut late tha.,Neutral,Delivery,Food was super but delivery was very late,Medium,45,Medium,25,Route Planning Failure,Mixed,Food super aa irundhuchu but delivery bahut late tha.,44,74,Food was super but delivery was very late.,Recalibrate dispatch buffer limits and update active route mapping API variables.,Delivery
13,2026-06-30 14:00:00,survey_comment,2,Refund innum varala but support ne bola kal tak aa jayega.,Negative,Staff/Support,Refund was not received yet but support said it will come by...,Medium,90,Critical,73,Agent Conduct,Mixed,Refund innum varala but support ne bola kal tak aa jayega.,77,34,Refund was not received yet but support said it will come by tomorrow.,Deploy customer service quality training curriculum for support representatives.,Staff/Support
14,2026-01-07 14:00:00,survey_comment,1,App crash aagiduchu while payment processing.,Negative,App Bug,App crashed while payment processing,Critical,100,Critical,95,Checkout crash,Tanglish,App crash aagiduchu while payment processing.,108,26,App crashed while payment processing.,Roll back recent frontend web payment release and debug checkout session locks.,App Bug
15,2026-02-07 14:00:00,survey_comment,2,Order cancel panna mudiyala and customer care not responding.,Negative,Staff/Support,Unable to cancel order and customer care not responding,Medium,80,Critical,73,Agent Conduct,Tanglish,Order cancel panna mudiyala and customer care not responding.,73,36,Unable to cancel order and customer care not responding.,Deploy customer service quality training curriculum for support representatives.,Staff/Support
16,2026-03-07 14:00:00,survey_comment,5,"Excellent service, my order arrived before expected time.",Positive,Delivery,Excellent service my order arrived before expected time,Low,20,Low,5,Route Planning Failure,English,"Excellent service, my order arrived before expected time.",18,93,"Excellent service, my order arrived before expected time.",Recalibrate dispatch buffer limits and update active route mapping API variables.,Delivery
17,2026-04-07 14:00:00,survey_comment,5,"டெலிவரி மிகவும் வேகமாக வந்தது, மிகவும் மகிழ்ச்சி.",Positive,Delivery,Delivery very came fast very happy,Low,20,Low,5,Warehouse Delay,Tamil,"டெலிவரி மிகவும் வேகமாக வந்தது, மிகவும் மகிழ்ச்சி.",18,93,"Delivery very came fast, very happy.",Optimize picking queue patterns and allocate temporary warehouse packing workers.,Delivery
18,2026-04-07 16:40:00,survey_comment,5,"मेरा ऑर्डर समय से पहले पहुंच गया, बहुत अच्छा अनुभव।",Positive,Delivery,मर order time स पहल पहच गय बहत good experience,Low,20,Low,5,Route Planning Failure,Hindi,"मेरा ऑर्डर समय से पहले पहुंच गया, बहुत अच्छा अनुभव।",18,93,"मेरा order time से पहले पहुंच गया, बहुत good experience।",Recalibrate dispatch buffer limits and update active route mapping API variables.,Delivery
19,2026-04-07 17:00:00,survey_comment,4,Food quality was excellent and packaging was neat.,Positive,Delivery,Food quality was excellent and packaging was neat,Low,20,Low,10,Packaging Issue,English,Food quality was excellent and packaging was neat.,20,92,Food quality was excellent and packaging was neat.,Audit delivery bag structural specifications and implement sealed spill-guards.,Delivery
2,2026-06-22 09:30:00,survey_comment,1,டெலிவரி மிகவும் தாமதமாக வந்தது மற்றும் உணவு குளிர்ந்திருந்தது.,Negative,Delivery,Delivery was very delayed and food was cold,High,90,Critical,80,Route Planning Failure,Tamil,டெலிவரி மிகவும் தாமதமாக வந்தது மற்றும் உணவு குளிர்ந்திருந்தது.,89,32,Delivery was very delayed and food was cold.,Recalibrate dispatch buffer limits and update active route mapping API variables.,Delivery
20,2026-05-07 17:20:00,survey_comment,5,"Service super ah irundhuchu, definitely will order again.",Positive,Other,Service was excellent definitely will order again,Low,15,Low,5,General Inquiry,Tanglish,"Service super ah irundhuchu, definitely will order again.",17,95,"Service was excellent, definitely will order again.",Improve search categorization in consumer self-service FAQ portal.,Other
3,2026-06-22 10:00:00,survey_comment,1,मेरा ऑर्डर बहुत देर से आया और खाना ठंडा था।,Negative,Delivery,My order was very late and food was cold,High,90,Critical,80,Route Planning Failure,Hindi,मेरा ऑर्डर बहुत देर से आया और खाना ठंडा था।,89,32,My order was very late and food was cold।,Recalibrate dispatch buffer limits and update active route mapping API variables.,Delivery
4,2026-06-23 10:20:00,survey_comment,2,"Delivery romba late ah vandhuchu, food um cold ah irundhuchu.",Negative,Delivery,Delivery was very late food was also cold,High,80,Critical,65,Route Planning Failure,Tanglish,"Delivery romba late ah vandhuchu, food um cold ah irundhuchu.",80,38,"Delivery was very late, food was also cold.",Recalibrate dispatch buffer limits and update active route mapping API variables.,Delivery
5,2026-06-24 10:20:00,survey_comment,2,Mera order late deliver hua aur food bhi cold tha.,Negative,Delivery,My order late deliver happened and food also cold tha,High,80,Critical,65,Route Planning Failure,Hinglish,Mera order late deliver hua aur food bhi cold tha.,80,38,My order late deliver happened and food also cold tha.,Recalibrate dispatch buffer limits and update active route mapping API variables.,Delivery
6,2026-06-25 10:20:00,survey_comment,1,The payment was deducted twice but my order was not confirmed.,Negative,Billing,The payment was deducted twice but my order was not confirmed,Medium,95,Critical,95,API Failure,English,The payment was deducted twice but my order was not confirmed.,86,27,The payment was deducted twice but my order was not confirmed.,Increase connection retry parameters and configure automated transaction daemon restarts.,Billing
